Creditability,Account_Balance,Duration_of_Credit,Payment_Status_of_Previous_Credit,Purpose,Value_Savings,Length_of_current_employment,Sex_Marital_Status,Guarantors,Age,No_of_dependents
1,2,30,0,9,1,3,2,1,28,1
1,1,9,2,3,1,4,3,1,59,1
1,2,18,4,2,1,5,3,1,41,1
1,4,27,4,2,4,2,3,1,32,2
1,2,12,4,3,1,3,2,1,23,1
0,2,36,3,9,1,3,1,1,30,1
1,1,9,2,2,1,3,3,1,25,1
1,2,42,4,9,1,4,2,1,41,1
1,4,24,4,2,4,3,3,1,40,1
1,1,15,2,9,1,3,2,1,22,1
1,2,24,3,9,5,3,3,1,34,1
1,2,36,3,0,1,3,2,1,54,1
1,4,24,4,3,1,4,4,3,33,1
1,4,24,2,0,1,3,3,3,31,1
1,4,12,4,9,1,3,2,3,29,1
1,4,18,2,3,1,2,4,1,39,1
1,4,24,2,3,1,2,2,1,38,1
1,4,12,4,6,5,4,2,1,61,1
0,1,15,2,0,1,3,2,1,29,1
1,1,6,2,2,1,5,2,1,49,1
1,2,12,4,0,3,4,1,1,36,1
1,4,12,2,2,1,3,2,1,26,1
1,2,21,2,2,5,4,3,1,35,1
1,2,18,2,0,1,4,3,1,28,1
1,2,9,4,2,1,4,3,1,35,1
1,4,24,2,1,4,3,2,1,28,1
1,4,9,4,6,3,5,3,1,52,1
1,4,24,2,2,3,5,3,1,32,1
1,2,36,2,3,1,2,2,1,30,1
1,4,36,4,1,1,5,3,1,35,2
1,2,6,2,3,1,2,4,1,30,1
1,4,15,4,3,1,3,2,1,43,1
1,4,15,2,3,3,5,3,1,47,1
1,4,24,4,3,1,2,4,1,47,1
1,4,15,2,4,5,2,2,1,24,1
1,4,6,2,2,3,3,3,1,32,1
1,4,18,2,0,1,3,4,1,30,1
1,4,24,4,3,2,5,3,1,36,2
1,3,24,2,2,1,3,3,1,26,1
1,4,18,2,2,1,3,3,1,43,1
1,3,6,2,2,1,3,3,1,41,1
1,4,18,2,3,1,2,2,1,26,1
1,4,10,2,0,1,3,2,1,64,1
1,4,6,2,2,4,3,1,1,33,1
1,2,12,2,0,4,5,3,1,54,1
1,1,24,1,0,2,4,3,1,32,1
1,2,6,4,8,5,4,2,1,39,1
1,3,24,4,3,5,3,3,1,31,1
1,4,36,2,3,5,5,2,1,45,1
1,4,9,2,6,5,5,3,1,64,1
1,2,24,2,3,5,5,2,1,42,1
1,4,9,4,2,1,1,3,1,31,1
1,4,36,2,3,5,3,2,1,25,1
1,4,21,2,1,5,5,3,1,46,1
1,1,24,2,1,5,5,3,1,49,2
1,1,12,2,2,5,5,1,1,49,1
1,4,12,2,9,1,4,3,1,36,1
1,2,24,4,3,1,5,3,1,48,1
1,3,12,1,3,4,3,2,1,42,1
1,4,12,2,3,1,2,2,1,29,1
1,4,48,4,1,5,4,3,1,35,1
1,2,24,2,0,2,4,3,1,38,1
1,2,12,2,3,3,3,1,1,26,1
1,4,24,4,3,1,3,3,1,35,1
1,1,12,2,3,1,3,2,1,23,1
1,4,30,4,3,1,4,3,2,38,1
0,2,48,1,9,1,5,2,1,59,1
1,2,12,4,2,1,5,3,1,28,1
1,4,12,4,3,1,3,2,1,35,1
1,3,24,4,9,4,3,1,1,36,1
1,4,24,2,2,1,4,2,1,25,1
1,4,15,4,2,1,3,3,1,28,1
1,3,15,2,6,1,2,2,1,23,1
1,4,9,4,0,1,3,3,1,48,1
1,4,30,4,3,1,4,2,1,25,1
1,4,24,4,9,1,3,3,1,74,1
1,4,15,4,2,1,4,2,2,24,1
1,4,6,4,3,1,3,2,1,28,1
1,3,36,2,3,1,3,3,1,24,1
0,1,12,2,0,1,3,2,1,24,1
1,3,12,2,3,1,3,4,1,23,1
1,4,24,2,3,1,4,3,1,32,2
1,4,12,2,3,1,4,3,1,31,2
1,4,24,2,3,3,5,1,1,36,1
1,4,24,4,9,2,3,3,1,27,1
1,2,12,4,1,2,2,3,1,44,1
1,4,18,2,9,1,4,3,1,34,1
1,4,48,3,3,3,4,3,1,37,1
1,4,9,2,4,1,2,2,1,23,1
1,4,18,4,0,1,2,2,1,30,1
1,1,30,0,9,5,2,3,1,25,1
1,4,30,4,3,1,3,2,1,33,1
1,4,9,2,9,1,4,2,1,27,1
1,4,36,2,9,2,4,3,1,31,1
1,4,12,2,0,5,5,3,1,50,1
1,4,24,2,3,3,5,3,1,31,2
1,2,36,2,6,1,4,3,1,32,2
1,3,21,2,0,2,3,2,1,28,1
1,4,24,2,3,2,3,3,1,29,1
1,2,36,2,6,5,3,4,1,27,1
1,2,48,2,0,5,4,2,1,24,1
1,4,24,2,0,5,2,3,1,54,1
1,4,12,2,3,1,3,3,1,25,1
1,4,33,4,1,1,4,3,1,35,1
1,4,6,4,0,1,4,3,1,45,2
1,4,18,4,2,1,3,2,1,28,1
1,4,12,2,3,2,4,3,1,35,1
1,4,48,1,9,1,3,2,1,27,1
1,4,30,2,3,3,5,3,1,30,1
1,4,28,1,1,5,2,3,3,40,2
1,3,18,1,3,5,4,3,1,49,1
1,1,24,2,2,5,2,2,1,30,1
1,1,21,2,0,5,4,3,2,24,1
1,2,18,2,9,1,5,3,2,33,1
1,1,12,2,3,1,3,3,1,20,2
1,2,15,2,3,5,2,3,1,23,1
1,2,48,1,0,5,1,3,2,36,1
1,4,9,2,3,2,5,3,2,35,1
1,3,4,2,0,5,2,3,1,29,2
1,1,24,1,2,3,3,3,1,22,1
1,1,24,1,2,3,3,3,1,22,1
1,3,6,4,0,1,3,3,1,74,2
1,2,9,2,0,5,2,3,1,35,1
1,3,10,2,0,1,2,3,3,37,2
1,4,10,2,1,5,2,2,1,31,1
1,3,6,2,0,4,2,4,1,27,1
1,1,47,2,0,1,2,2,1,35,1
1,4,10,2,0,5,5,3,2,45,1
1,1,18,1,3,1,2,3,2,36,1
1,3,30,4,3,5,5,3,1,49,1
1,4,24,3,1,1,4,3,1,35,1
1,4,27,3,1,4,3,3,1,27,1
1,1,18,2,2,4,3,3,1,28,1
1,4,24,4,3,4,3,2,1,43,1
1,1,18,2,0,2,3,3,1,35,2
1,4,14,3,0,1,3,3,1,27,1
1,4,21,2,9,4,5,2,1,36,1
1,2,48,1,9,2,4,3,1,30,1
1,4,24,2,3,1,5,3,1,36,1
1,4,6,0,3,1,5,4,1,39,1
1,4,39,2,1,2,5,3,1,45,1
1,1,30,2,1,1,3,1,1,40,1
0,2,12,2,0,1,4,4,1,25,1
1,1,24,2,3,1,5,2,1,55,1
1,4,21,2,2,1,5,3,1,50,1
1,1,24,2,3,1,5,3,1,64,1
1,4,4,2,2,1,2,2,1,23,2
1,4,39,2,1,3,3,3,1,24,1
1,4,15,4,3,3,3,4,1,47,1
1,4,60,2,0,1,5,3,1,42,1
1,4,18,2,9,2,3,2,1,24,1
1,4,18,4,3,3,5,3,1,32,1
1,4,6,1,3,3,5,3,1,45,2
1,4,24,2,1,2,4,2,1,23,1
1,4,18,4,3,1,3,3,1,24,1
1,4,24,3,2,2,3,3,1,35,1
1,2,15,2,5,2,3,2,1,25,1
1,4,21,2,1,5,3,3,1,26,1
1,2,18,3,0,5,5,3,1,43,2
1,2,18,3,5,1,3,3,1,44,2
1,4,12,2,3,1,5,3,1,38,1
1,4,36,2,3,1,5,3,1,28,1
1,4,36,4,1,4,5,3,1,38,1
1,3,15,2,9,1,4,3,1,26,1
1,1,15,3,2,1,5,2,1,27,1
1,4,10,4,2,1,2,2,1,23,1
1,1,10,2,3,1,5,3,1,52,1
1,4,5,2,9,1,4,3,1,74,1
1,4,15,2,2,1,2,3,1,27,1
1,4,11,4,0,1,2,2,1,35,1
1,3,10,2,2,1,2,2,1,23,1
1,4,9,2,2,1,5,3,1,20,1
1,4,12,2,3,1,2,2,1,34,2
1,4,22,2,3,3,5,3,1,40,1
1,2,9,2,3,1,3,3,1,37,2
1,4,36,2,0,3,5,3,1,36,1
1,4,12,4,2,1,2,2,1,22,1
1,4,15,1,3,2,5,3,1,34,2
1,4,6,2,1,3,3,3,1,50,1
1,4,36,3,2,3,4,2,1,40,1
1,4,6,2,5,3,4,4,1,23,1
1,4,24,2,2,3,5,3,1,53,1
1,4,24,2,1,1,5,3,1,35,1
1,4,12,1,8,3,3,2,1,35,2
1,4,15,2,3,1,5,2,1,54,1
1,2,21,4,9,1,4,3,1,27,1
1,1,24,2,3,1,3,2,1,28,1
1,3,9,2,3,2,5,1,1,49,1
1,3,6,3,3,1,2,2,1,29,1
1,3,12,2,2,1,3,2,1,46,1
1,4,12,2,1,5,2,2,1,20,1
1,2,21,3,0,1,3,1,1,47,1
1,1,21,2,3,4,2,2,1,29,1
1,4,6,2,0,1,1,2,1,54,1
1,1,6,4,3,3,5,3,1,52,1
1,4,9,2,3,1,3,3,1,32,2
1,4,9,2,0,3,5,3,1,51,1
1,4,15,3,3,1,3,4,1,33,1
1,4,12,4,6,5,2,3,1,37,2
1,4,15,2,2,3,3,2,1,20,1
1,4,6,4,3,5,3,3,1,34,2
1,2,6,3,9,2,5,1,1,31,2
1,4,15,3,2,4,4,2,1,30,1
1,4,36,2,1,1,3,2,1,30,1
1,4,9,2,2,2,2,2,1,22,1
1,4,6,3,9,2,3,3,1,34,1
1,2,12,2,2,4,2,2,1,19,1
1,4,18,3,3,1,1,4,1,34,1
1,1,12,1,8,1,5,4,1,45,1
1,3,24,2,3,1,4,3,1,25,1
1,3,24,2,2,1,2,2,1,26,1
1,4,9,4,3,5,3,3,1,33,2
0,3,9,2,3,1,3,2,1,28,1
1,4,24,2,0,2,5,4,1,41,1
1,1,6,2,2,1,3,3,1,36,1
1,4,6,1,0,5,3,3,3,26,2
1,1,21,2,3,1,2,2,1,28,1
1,4,54,0,1,5,3,3,1,39,2
1,4,12,4,3,5,5,3,1,65,1
1,4,48,4,1,5,5,3,1,38,2
1,4,6,4,0,4,3,2,1,41,1
1,2,24,2,0,1,2,3,1,26,1
1,1,6,2,0,1,2,3,1,41,2
1,4,15,2,1,5,5,3,1,45,2
1,4,24,1,9,1,4,3,1,40,1
1,3,12,2,3,1,3,4,1,24,1
1,4,15,4,3,1,3,3,1,31,1
1,4,6,0,0,2,3,3,1,35,1
1,4,10,2,0,3,3,3,1,40,2
1,4,12,2,3,2,3,2,2,28,1
1,4,11,2,9,4,5,1,1,28,1
1,1,10,4,2,5,2,2,2,27,1
1,4,10,2,0,1,3,3,1,31,2
1,4,24,4,0,4,5,2,1,37,1
1,4,10,2,0,2,3,3,1,35,1
1,3,6,4,0,1,5,3,1,46,2
1,4,18,2,0,5,4,3,1,32,1
1,4,18,4,3,1,5,3,1,33,1
1,4,24,4,6,5,3,2,1,33,1
1,4,18,4,3,1,3,2,1,26,1
1,4,6,4,3,1,4,2,1,24,1
1,4,22,2,0,5,4,2,1,25,1
1,4,24,3,0,5,5,4,1,54,1
1,1,24,2,2,1,2,3,2,24,1
1,1,9,4,5,2,5,3,3,48,2
1,1,10,4,0,1,4,3,2,49,1
1,4,10,2,1,2,3,3,2,32,2
1,4,12,2,1,4,4,3,1,55,1
1,4,30,4,3,5,5,3,1,40,2
1,1,24,1,1,1,3,2,3,22,1
1,4,18,4,1,5,1,3,1,38,1
1,4,9,2,0,2,3,3,3,26,2
1,4,12,4,0,2,4,2,1,51,1
1,4,10,2,3,1,3,3,1,38,1
1,4,10,2,6,3,5,3,1,46,1
1,3,10,4,0,1,5,3,1,63,1
1,1,12,4,0,1,3,3,1,30,1
1,4,12,4,6,1,3,3,1,32,1
1,4,10,4,2,5,3,4,1,26,1
1,4,24,2,0,4,4,2,1,34,2
1,4,48,4,9,5,5,1,1,46,2
0,1,12,4,0,1,3,2,2,29,1
1,4,6,2,3,2,5,3,1,42,2
1,4,36,4,1,5,5,3,1,42,1
1,1,24,2,1,1,3,3,3,63,2
1,4,10,4,0,1,5,3,1,32,2
1,3,18,2,0,1,5,2,1,23,1
1,4,15,4,0,5,5,2,1,59,1
1,4,12,4,0,1,5,3,1,61,1
1,1,12,2,2,1,2,2,1,22,1
1,4,6,4,2,5,3,4,1,27,1
1,4,9,2,2,1,3,2,1,26,1
1,4,12,2,3,5,3,3,1,37,1
1,4,12,0,2,1,5,3,1,34,1
1,3,24,2,3,3,3,2,1,57,1
1,2,12,0,8,1,3,3,1,31,1
1,1,15,2,0,1,3,2,1,28,1
1,1,24,2,2,1,3,1,1,24,1
1,1,24,2,9,1,3,4,1,21,1
1,4,24,4,3,4,5,3,1,34,1
1,2,24,4,1,4,5,2,1,29,1
1,1,6,2,4,1,2,2,1,27,1
1,4,21,3,2,2,4,3,1,34,1
1,1,27,2,3,1,3,3,1,27,1
0,1,12,0,5,1,4,3,1,28,1
1,2,27,3,1,1,5,3,1,30,1
1,2,15,2,5,2,3,3,3,22,1
1,4,30,4,3,5,4,3,1,36,1
1,1,18,2,2,1,2,2,1,22,1
1,1,21,2,2,1,4,2,1,26,1
1,4,60,4,0,5,5,3,1,63,1
1,2,9,2,0,1,3,4,1,22,1
1,4,42,4,2,3,3,3,1,36,1
1,2,9,2,3,1,3,3,1,24,1
0,2,9,2,2,1,3,2,1,30,1
1,4,24,2,0,1,3,3,1,43,2
1,3,10,2,4,1,3,3,1,37,1
1,1,24,2,1,5,5,2,1,26,1
1,4,15,2,1,1,4,3,1,33,1
1,3,12,4,0,3,1,3,1,66,1
1,3,6,4,6,1,3,2,1,50,1
1,4,15,4,3,1,3,3,1,35,1
1,4,24,2,2,2,3,3,1,25,1
1,2,9,2,3,1,5,2,1,25,1
1,2,24,3,3,1,2,3,1,33,1
1,4,12,2,3,1,3,3,1,30,1
1,4,12,3,1,1,3,4,1,41,1
1,2,12,2,0,1,4,3,1,32,1
1,2,27,2,9,1,2,2,1,32,2
1,2,12,2,9,2,4,3,1,39,1
1,1,6,2,1,3,1,2,1,23,1
1,4,24,2,3,1,2,2,1,26,1
1,4,18,2,3,1,2,3,1,32,1
1,2,48,2,10,5,1,3,1,40,1
1,4,15,2,1,1,3,3,1,30,1
1,2,9,2,9,1,3,4,1,27,1
1,2,18,2,9,4,2,4,1,36,1
1,4,42,2,3,5,4,4,1,29,1
1,4,13,2,3,2,1,2,1,64,1
1,4,24,3,9,5,3,3,1,32,2
1,4,12,4,3,5,5,3,1,35,1
1,4,24,3,9,3,3,3,1,44,2
1,4,12,4,3,3,5,3,1,42,2
1,4,28,4,3,1,5,3,1,29,1
1,4,11,4,3,2,1,2,1,57,1
1,4,24,4,1,4,3,3,1,27,1
1,4,18,4,3,5,3,3,1,29,1
1,1,15,4,2,1,5,3,1,44,2
1,4,12,2,3,1,3,4,1,28,1
1,2,11,4,0,4,3,2,1,40,1
1,2,16,4,0,1,1,3,1,68,1
1,4,12,2,0,5,5,2,1,52,1
1,4,15,4,3,1,5,3,1,46,1
1,4,12,4,3,1,5,3,1,52,1
1,2,39,3,6,2,4,3,1,32,1
0,2,9,4,6,1,5,2,1,34,1
1,1,12,2,6,5,3,2,1,23,1
1,2,9,2,0,5,3,2,1,33,1
1,4,30,4,3,1,4,2,1,26,1
0,4,12,3,5,4,5,3,1,55,2
1,2,15,4,9,3,3,3,1,27,1
1,2,18,4,9,5,3,4,1,28,1
1,4,12,4,9,5,5,3,1,57,1
1,4,7,3,3,5,5,3,1,36,1
1,4,15,4,6,2,3,2,1,31,1
1,4,6,3,3,1,3,2,1,24,1
1,1,27,4,9,1,5,3,1,43,2
1,2,18,4,9,1,1,4,1,40,2
1,4,21,4,2,1,2,2,1,23,1
1,4,27,3,9,1,4,3,1,26,1
1,1,39,4,2,5,4,3,1,30,1
1,4,15,2,3,5,3,4,1,40,1
1,4,12,4,3,1,5,3,1,56,1
1,4,12,2,2,1,3,3,1,50,1
1,4,6,4,3,5,5,3,1,36,1
1,4,12,2,3,5,3,2,1,21,1
1,4,36,2,1,1,3,3,1,32,1
1,2,9,2,3,3,3,2,1,66,1
0,2,12,2,3,3,3,3,1,66,1
1,1,20,2,2,5,4,3,1,39,1
1,2,10,2,0,1,1,3,1,70,1
1,2,24,4,6,1,2,2,1,24,1
1,1,14,2,0,1,1,3,1,22,1
1,2,60,3,3,5,3,3,1,27,1
1,2,20,3,10,1,3,3,1,29,1
1,2,18,2,9,4,3,3,1,35,1
1,2,24,3,2,5,2,3,1,29,1
1,4,12,2,1,5,2,4,1,26,1
1,2,20,2,1,5,1,1,1,60,1
1,2,18,4,2,1,1,3,1,40,1
1,4,15,2,1,2,2,2,1,23,1
0,1,28,2,0,1,3,3,1,45,1
1,2,12,2,0,5,1,2,1,24,1
1,3,12,2,2,5,5,2,1,55,1
1,2,12,2,1,5,3,3,1,30,1
1,4,15,2,0,3,5,2,1,35,1
1,2,36,2,3,1,4,3,1,24,1
1,4,12,2,6,1,5,3,1,47,2
1,4,18,2,2,1,3,3,1,47,1
1,4,24,2,3,5,5,3,1,25,1
1,4,36,2,9,5,5,3,1,37,1
1,4,15,2,2,5,4,2,1,33,1
1,3,36,2,3,1,5,3,1,31,1
1,4,24,2,8,1,2,4,1,27,1
1,4,18,2,2,1,5,3,1,47,2
1,4,24,2,3,5,2,3,1,25,1
1,4,12,4,6,1,5,2,1,57,1
1,2,18,2,5,1,1,2,1,67,1
1,4,27,2,5,5,5,3,1,48,2
1,2,18,2,2,1,4,2,1,40,1
1,4,24,3,9,1,3,3,1,32,1
1,4,12,4,2,5,5,3,1,49,1
1,4,12,4,2,4,4,2,1,35,1
1,4,12,4,9,1,3,2,1,27,1
1,4,18,4,2,1,2,1,1,35,1
1,2,18,4,2,1,5,2,1,37,1
1,4,12,2,9,1,3,4,1,26,1
1,4,12,2,0,5,2,3,1,45,2
1,4,18,2,3,1,2,3,1,33,1
1,4,12,4,2,1,5,3,1,42,1
1,1,18,0,9,1,4,3,1,31,1
1,4,24,4,3,1,5,4,2,46,1
1,1,12,4,1,1,5,3,1,54,1
1,4,24,2,3,2,4,4,1,26,1
1,4,6,2,3,1,4,4,1,29,1
1,4,24,4,1,5,4,3,1,43,1
1,4,12,4,0,1,1,2,1,38,1
1,1,12,2,3,3,5,4,1,35,1
1,4,24,2,0,1,2,4,1,28,1
1,4,24,4,0,2,4,4,1,27,1
1,4,6,2,3,1,4,3,1,51,2
1,4,24,4,5,1,3,1,1,33,1
1,4,24,2,1,1,4,3,1,38,1
1,4,6,4,3,1,5,4,1,30,1
1,4,12,4,3,5,5,2,1,38,1
1,4,24,4,1,5,3,3,1,46,2
1,4,24,4,2,1,5,3,1,33,1
1,1,6,2,0,2,5,3,1,43,1
1,4,6,4,0,3,3,4,1,24,1
1,4,6,2,6,1,2,2,1,56,1
1,2,24,4,0,2,2,1,1,37,1
1,2,30,2,2,1,2,4,1,22,1
1,4,15,2,0,4,4,2,1,20,1
1,2,24,2,3,2,2,3,1,29,1
1,2,24,3,9,2,4,3,1,36,1
0,4,36,2,6,1,3,3,1,37,1
0,4,24,2,3,5,2,2,1,44,1
0,4,36,4,2,1,2,2,1,23,1
0,4,36,2,2,1,3,2,1,28,1
0,4,36,2,2,1,1,2,1,26,1
1,4,6,2,3,1,3,2,1,29,1
1,4,18,2,3,5,2,2,1,21,1
1,2,12,4,1,1,1,3,1,34,1
1,4,36,4,3,1,3,2,1,31,1
1,1,12,2,3,1,3,4,1,40,1
1,2,12,2,3,1,4,2,1,27,1
1,4,18,2,3,1,3,3,1,32,1
1,4,18,4,3,1,3,2,1,25,1
1,4,4,4,3,1,4,3,1,42,2
1,4,24,4,1,5,4,3,1,43,2
1,3,12,2,3,1,3,2,1,44,1
1,1,18,4,3,1,4,4,1,32,1
1,1,18,2,3,1,2,2,1,27,1
1,2,24,2,3,1,5,2,1,20,1
1,4,4,4,0,1,4,2,1,37,2
1,4,4,4,0,1,4,3,1,42,2
1,4,7,4,3,5,5,3,1,46,1
1,2,18,0,2,1,3,2,1,33,1
0,2,9,2,3,1,2,2,1,22,1
1,2,48,2,3,5,4,3,1,41,2
0,2,12,2,2,1,3,3,1,37,1
1,2,18,4,2,1,2,2,1,27,1
1,4,4,4,3,1,4,3,1,42,2
1,2,8,2,9,1,2,4,1,26,1
1,2,30,2,3,5,3,2,1,26,1
1,3,10,4,3,5,4,3,1,27,1
1,2,12,2,0,4,3,4,1,22,1
1,4,12,4,2,3,4,2,1,37,1
1,2,12,2,0,1,4,3,1,30,2
1,4,12,4,6,1,4,3,1,49,2
1,4,12,2,0,1,3,4,1,27,1
1,4,10,2,8,5,4,2,1,40,1
1,2,11,2,2,4,2,2,1,20,1
1,4,33,3,9,1,3,2,1,26,1
1,2,48,0,0,3,2,2,1,30,1
1,3,12,2,2,1,2,2,1,33,1
1,4,24,2,1,5,1,2,1,26,1
1,2,14,2,9,3,5,4,1,35,1
1,4,20,4,0,5,2,1,1,44,1
1,4,18,4,1,1,4,3,1,27,1
0,2,60,2,0,2,2,2,1,24,1
1,3,24,2,3,2,5,2,1,47,1
1,4,30,3,9,2,3,3,1,26,1
1,2,24,3,3,2,4,2,1,23,1
1,2,36,3,9,2,4,3,1,31,2
1,4,6,4,0,2,3,2,1,52,1
1,4,12,4,2,1,5,3,1,43,1
1,4,48,2,3,5,4,3,1,37,1
1,3,12,2,0,1,2,3,1,26,1
1,4,36,2,6,5,3,3,1,35,2
1,2,26,2,1,1,2,3,1,30,1
1,2,30,1,2,4,3,3,1,34,2
1,2,36,2,1,1,3,3,1,35,1
1,2,48,0,9,5,3,3,1,48,1
0,1,36,2,2,1,5,3,1,42,2
0,1,12,2,6,1,3,3,1,40,2
0,1,33,4,2,3,3,2,1,23,1
0,1,42,2,3,5,4,2,1,30,1
0,1,24,1,3,1,4,3,3,24,1
0,1,24,2,2,2,1,1,1,33,1
0,4,24,2,3,2,5,3,1,31,1
0,1,12,2,4,2,1,2,1,22,1
0,1,12,2,2,1,5,3,1,53,1
1,1,24,2,1,1,4,3,1,34,1
1,1,18,4,0,1,5,3,1,36,1
1,1,36,2,2,1,3,3,3,37,2
1,1,18,2,3,1,4,2,3,25,1
1,2,12,2,2,1,2,2,1,34,1
1,1,12,2,2,1,3,3,1,27,1
1,1,8,4,10,1,5,3,1,51,2
0,1,36,4,2,1,2,2,2,23,1
0,1,24,1,0,1,1,2,2,29,1
1,1,30,0,2,1,3,1,3,32,1
1,1,36,4,2,1,3,3,3,28,1
1,1,12,2,2,1,3,3,3,38,2
1,1,21,4,0,1,5,3,1,65,1
1,1,30,2,3,1,5,3,3,39,2
0,1,36,2,2,1,4,3,1,29,1
0,1,36,2,1,1,3,3,1,26,2
1,4,24,4,2,1,4,3,1,30,1
1,1,6,2,0,5,1,2,1,75,1
1,1,12,2,2,1,3,3,3,21,1
0,1,36,2,2,1,5,3,1,41,2
1,1,15,4,2,1,3,1,1,25,1
1,2,6,3,2,1,1,3,1,35,1
1,1,6,4,0,1,4,2,1,37,1
1,1,48,2,1,1,4,3,1,26,2
1,2,24,2,2,2,5,3,1,30,1
0,2,12,2,0,2,2,2,1,23,1
1,1,12,2,2,1,3,1,1,42,1
1,1,12,2,2,1,3,2,2,30,1
1,1,15,2,2,1,2,2,3,46,1
1,1,24,2,1,1,1,3,1,29,1
1,1,12,2,0,1,3,2,3,29,1
1,1,30,4,1,1,5,3,1,38,2
1,1,18,2,0,2,4,3,1,30,2
0,1,30,2,2,1,2,1,1,31,1
1,2,12,4,0,1,4,3,1,47,2
1,4,24,2,1,5,3,1,1,48,1
1,4,24,4,10,1,1,3,2,27,1
1,1,12,4,1,1,5,3,1,66,1
1,1,12,2,2,1,3,3,2,29,2
1,1,24,4,1,1,1,3,1,75,1
1,1,6,4,2,1,1,3,1,36,1
1,4,12,2,0,5,1,3,1,38,1
1,4,18,4,3,4,5,3,1,46,1
